tournament_url,tournament_name,country_id,country_name,tournament_id,tournament_stage_id,tournament_template_id,season_id,tournament_stages_json
/football/italy/coppa-italia-primavera/,Coppa Italia Primavera,98,Italy,6LaA75Tr,r3i1aI3c,j1pBfg5a,187,"[{""tournament_stage_id"": ""r3i1aI3c"", ""name"": ""Main""}]"
/football/italy/supercoppa-primavera/,Supercoppa Primavera,98,Italy,MF0iizXu,EiLoTZvO,Y97NgDK5,182,"[{""tournament_stage_id"": ""EiLoTZvO"", ""name"": ""Main""}]"
/football/italy/kings-league-italy/,Kings League - Italy,98,Italy,MDKze45j,OrlSz3yg,hKfbBFqn,187,"[{""tournament_stage_id"": ""OrlSz3yg"", ""name"": ""Main""}]"
/football/italy/serie-a-women/,Serie A Women,98,Italy,z1iR3NS7,C6VkulIr,dMXaGPOf,187,"[{""tournament_stage_id"": ""C6VkulIr"", ""name"": ""Main""}]"
/football/italy/serie-b-women/,Serie B Women,98,Italy,pK2sTQKE,Yws9cmvR,lIWIwelG,187,"[{""tournament_stage_id"": ""Yws9cmvR"", ""name"": ""Main""}]"
/football/italy/coppa-italia-women/,Coppa Italia Women,98,Italy,vJejR4kR,dtnlhR1l,MRvgNIq5,187,"[{""tournament_stage_id"": ""dtnlhR1l"", ""name"": ""Main""}]"
/football/italy/serie-a-cup-women/,Serie A Cup Women,98,Italy,bgtJEBZr,fLD2i25N,lYQPfqdl,187,"[{""tournament_stage_id"": ""fLD2i25N"", ""name"": ""Main""}, {""tournament_stage_id"": ""jiaYotTp"", ""name"": ""Play Offs""}]"
/football/italy/super-cup-women/,Super Cup Women,98,Italy,Y3FKnCoB,AkoAPQwj,zkJr8Gun,182,"[{""tournament_stage_id"": ""AkoAPQwj"", ""name"": ""Main""}]"
/football/sweden/allsvenskan/,Allsvenskan,181,Sweden,Qwn11AAt,ltrtRhko,nXxWpLmT,185,"[{""tournament_stage_id"": ""ltrtRhko"", ""name"": ""Main""}]"
/football/sweden/superettan/,Superettan,181,Sweden,CUbso4Nc,Mmys27Ja,bBIP6pm3,185,"[{""tournament_stage_id"": ""Mmys27Ja"", ""name"": ""Main""}]"
/football/sweden/division-1-norra/,Division 1 - Norra,181,Sweden,by2QcS95,vgofrhBT,UZCe41Bj,185,"[{""tournament_stage_id"": ""vgofrhBT"", ""name"": ""Main""}]"
/football/sweden/division-1-sodra/,Division 1 - Södra,181,Sweden,Q582ep9U,fkPIprhc,02P7Upli,185,"[{""tournament_stage_id"": ""fkPIprhc"", ""name"": ""Main""}]"
/football/sweden/division-1-relegation/,Division 1 - Relegation,181,Sweden,lndp1Ua5,r9jUGqzo,INQoyd4f,182,"[{""tournament_stage_id"": ""r9jUGqzo"", ""name"": ""Main""}]"
/football/sweden/division-2-norrland/,Division 2 - Norrland,181,Sweden,hfBEBqON,MgIYgwyS,YiHKRrY9,185,"[{""tournament_stage_id"": ""MgIYgwyS"", ""name"": ""Main""}]"
/football/sweden/division-2-norra-gotaland/,Division 2 - Norra Götaland,181,Sweden,pz7KFmfn,2aprs0iM,lhGQk0Yg,185,"[{""tournament_stage_id"": ""2aprs0iM"", ""name"": ""Main""}]"
/football/sweden/division-2-norra-svealand/,Division 2 - Norra Svealand,181,Sweden,WvN5D5gB,ld29cLy3,MHDGSOI3,185,"[{""tournament_stage_id"": ""ld29cLy3"", ""name"": ""Main""}]"
